community_id,community_size,dominant_experience_level,entry_accessibility,community_label,defining_skills,defining_responsibility_signals,confidence,level_agreement,access_agreement,label_agreement,overall_agreement,calls_used,top_title_keywords,raw_call_outputs,batch_id
400,32,mid,moderate_entry_barrier,HOA Management,"['onsite', 'manager', 'assistant']","['leadership', 'community']",high,1.0,1.0,0.667,0.889,3,"onsite, manager, community, association, atx2024, maintenance, assistant, ofl2024, general, technician, eco2024, hoa","[{""community_id"": 400, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""HOA Management"", ""defining_skills"": [""onsite"", ""manager"", ""assistant""], ""defining_responsibility_signals"": [""community"", ""maintenance""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 400, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""HOA Management\"", \""defining_skills\"": [\""onsite\"", \""manager\"", \""assistant\""], \""defining_responsibility_signals\"": [\""community\"", \""maintenance\""] , \""confidence\"": \""high\""}""}, {""community_id"": 400, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Community Association Manager"", ""defining_skills"": [""onsite management"", ""community association"", ""maintenance""], ""defining_responsibility_signals"": [""leadership"", ""certification""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 400, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Community Association Manager\"", \""defining_skills\"": [\""onsite management\"", \""community association\"", \""maintenance\""], \""defining_responsibility_signals\"": [\""leadership\"", \""certification\""] , \""confidence\"": \""high\""}""}, {""community_id"": 400, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""HOA Management"", ""defining_skills"": [""community management"", ""technology"", ""rapid growth""], ""defining_responsibility_signals"": [""leadership"", ""career advancement""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 400, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""HOA Management\"", \""defining_skills\"": [\""community management\"", \""technology\"", \""rapid growth\""], \""defining_responsibility_signals\"": [\""leadership\"", \""career advancement\""] , \""confidence\"": \""high\""}""}]",17
401,32,mid,moderate_entry_barrier,Fitness Specialist,"['exercise', 'group training', 'health management']","['supervise', 'monitor exercise']",high,1.0,1.0,0.667,0.889,3,"fitness, specialist, trainer, personal, exercise, substitute, group, instructor, health, manager, lead, training","[{""community_id"": 401, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Fitness Specialist"", ""defining_skills"": [""exercise"", ""group training"", ""health management""], ""defining_responsibility_signals"": [""supervise"", ""monitor exercise""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 401, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Fitness Specialist\"", \""defining_skills\"": [\""exercise\"", \""group training\"", \""health management\""], \""defining_responsibility_signals\"": [\""supervise\"", \""monitor exercise\""] , \""confidence\"": \""high\""}""}, {""community_id"": 401, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Fitness Specialist"", ""defining_skills"": [""exercise"", ""group training"", ""health management""], ""defining_responsibility_signals"": [""supervise"", ""monitor""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 401, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Fitness Specialist\"", \""defining_skills\"": [\""exercise\"", \""group training\"", \""health management\""], \""defining_responsibility_signals\"": [\""supervise\"", \""monitor\""] , \""confidence\"": \""high\""}""}, {""community_id"": 401, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Fitness Trainer"", ""defining_skills"": [""personal_training"", ""group_exercise"", ""member_retention""], ""defining_responsibility_signals"": [""deliver_positive_fitness_experience"", ""quality_training_sessions""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 401, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Fitness Trainer\"", \""defining_skills\"": [\""personal_training\"", \""group_exercise\"", \""member_retention\""], \""defining_responsibility_signals\"": [\""deliver_positive_fitness_experience\"", \""quality_training_sessions\""] , \""confidence\"": \""high\""}""}]",17
402,32,junior,moderate_entry_barrier,Medical Support,"['phlebotomy', 'donor screening', 'medical training']","['leadership', 'certification']",high,1.0,1.0,0.333,0.778,3,"center, phlebotomist, training, nurse, medical, required, manager, relocation, entry, donor, plasma, screener","[{""community_id"": 402, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Medical Support"", ""defining_skills"": [""phlebotomy"", ""donor screening"", ""medical customer service""], ""defining_responsibility_signals"": [""training"", ""relocation""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 402, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Medical Support\"", \""defining_skills\"": [\""phlebotomy\"", \""donor screening\"", \""medical customer service\""], \""defining_responsibility_signals\"": [\""training\"", \""relocation\""] , \""confidence\"": \""high\""}""}, {""community_id"": 402, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Donor Center Nurse"", ""defining_skills"": [""phlebotomy"", ""donor screening"", ""medical training""], ""defining_responsibility_signals"": [""leadership"", ""certification""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 402, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Donor Center Nurse\"", \""defining_skills\"": [\""phlebotomy\"", \""donor screening\"", \""medical training\""], \""defining_responsibility_signals\"": [\""leadership\"", \""certification\""] , \""confidence\"": \""high\""}""}, {""community_id"": 402, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Plasma Center Nurse"", ""defining_skills"": [""phlebotomy"", ""donor screening"", ""medical training""], ""defining_responsibility_signals"": [""leadership"", ""certification""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 402, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Plasma Center Nurse\"", \""defining_skills\"": [\""phlebotomy\"", \""donor screening\"", \""medical training\""], \""defining_responsibility_signals\"": [\""leadership\"", \""certification\""] , \""confidence\"": \""high\""}""}]",17
403,31,junior,moderate_entry_barrier,Sales & Business Development,"['customer service', 'sales', 'business development']","['customer acquisition', 'business growth']",high,1.0,1.0,0.333,0.778,3,"sales, representative, customer, specialist, development, business, support, inside, service, manager, director, lead","[{""community_id"": 403, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Sales & Business Development"", ""defining_skills"": [""sales"", ""business development"", ""customer service""], ""defining_responsibility_signals"": [""customer acquisition"", ""business growth""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 403, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Sales & Business Development\"", \""defining_skills\"": [\""sales\"", \""business development\"", \""customer service\""], \""defining_responsibility_signals\"": [\""customer acquisition\"", \""business growth\""] , \""confidence\"": \""high\""}""}, {""community_id"": 403, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Customer Service"", ""defining_skills"": [""customer service"", ""inquiry resolution"", ""customer account management""], ""defining_responsibility_signals"": [""triage"", ""research root cause""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 403, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Customer Service\"", \""defining_skills\"": [\""customer service\"", \""inquiry resolution\"", \""customer account management\""], \""defining_responsibility_signals\"": [\""triage\"", \""research root cause\""] , \""confidence\"": \""high\""}""}, {""community_id"": 403, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Sales & Customer Service"", ""defining_skills"": [""sales"", ""customer service"", ""business development""], ""defining_responsibility_signals"": [""customer support"", ""inside sales""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 403, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Sales & Customer Service\"", \""defining_skills\"": [\""sales\"", \""customer service\"", \""business development\""], \""defining_responsibility_signals\"": [\""customer support\"", \""inside sales\""] , \""confidence\"": \""high\""}""}]",17
404,31,junior,moderate_entry_barrier,Inventory Control Clerk,"['inventory management', 'supply chain', 'record keeping']","['train others', 'verify inventory changes']",high,1.0,1.0,0.333,0.778,3,"inventory, specialist, control, clerk, supply, chain, operator, analyst, cycle, counter, forklift, production","[{""community_id"": 404, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Inventory Control Clerk"", ""defining_skills"": [""inventory management"", ""record keeping"", ""procedure following""], ""defining_responsibility_signals"": [""train others"", ""verify inventory changes""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 404, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Inventory Control Clerk\"", \""defining_skills\"": [\""inventory management\"", \""record keeping\"", \""procedure following\""], \""defining_responsibility_signals\"": [\""train others\"", \""verify inventory changes\""] , \""confidence\"": \""high\""}""}, {""community_id"": 404, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Inventory & Supply Chain Operations"", ""defining_skills"": [""inventory management"", ""supply chain"", ""warehouse operations""], ""defining_responsibility_signals"": [""inventory control"", ""supply chain management""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 404, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Inventory & Supply Chain Operations\"", \""defining_skills\"": [\""inventory management\"", \""supply chain\"", \""warehouse operations\""], \""defining_responsibility_signals\"": [\""inventory control\"", \""supply chain management\""] , \""confidence\"": \""high\""}""}, {""community_id"": 404, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Supply Chain Operations"", ""defining_skills"": [""inventory management"", ""supply chain"", ""production operations""], ""defining_responsibility_signals"": [""control"", ""clerk duties""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 404, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Supply Chain Operations\"", \""defining_skills\"": [\""inventory management\"", \""supply chain\"", \""production operations\""], \""defining_responsibility_signals\"": [\""control\"", \""clerk duties\""] , \""confidence\"": \""high\""}""}]",17
405,31,senior,moderate_entry_barrier,Senior Sales & Operations Management,"['business development', 'sales management', 'operations management']","['leadership', 'solution implementation']",high,1.0,1.0,0.333,0.778,3,"manager, sales, regional, business, senior, development, operations, director, program, management, tech, vice","[{""community_id"": 405, ""dominant_experience_level"": ""senior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Senior Sales & Operations Management"", ""defining_skills"": [""sales management"", ""operations management"", ""business development""], ""defining_responsibility_signals"": [""leadership"", ""solution implementation""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 405, \""dominant_experience_level\"": \""senior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Senior Sales & Operations Management\"", \""defining_skills\"": [\""sales management\"", \""operations management\"", \""business development\""], \""defining_responsibility_signals\"": [\""leadership\"", \""solution implementation\""] , \""confidence\"": \""high\""}""}, {""community_id"": 405, ""dominant_experience_level"": ""senior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Business Development & Program Management"", ""defining_skills"": [""sales"", ""business development"", ""program management""], ""defining_responsibility_signals"": [""pipeline development"", ""management""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 405, \""dominant_experience_level\"": \""senior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Business Development & Program Management\"", \""defining_skills\"": [\""sales\"", \""business development\"", \""program management\""], \""defining_responsibility_signals\"": [\""pipeline development\"", \""management\""] , \""confidence\"": \""high\""}""}, {""community_id"": 405, ""dominant_experience_level"": ""senior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Senior Supply Chain Tech Managers"", ""defining_skills"": [""supply chain management"", ""technology"", ""leadership""], ""defining_responsibility_signals"": [""challenging issues"", ""forward-thinking""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 405, \""dominant_experience_level\"": \""senior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Senior Supply Chain Tech Managers\"", \""defining_skills\"": [\""supply chain management\"", \""technology\"", \""leadership\""], \""defining_responsibility_signals\"": [\""challenging issues\"", \""forward-thinking\""] , \""confidence\"": \""high\""}""}]",17
406,31,mid,moderate_entry_barrier,Key Account Manager,"['sales', 'customer success', 'account management']","['leadership', 'certification']",high,1.0,1.0,0.333,0.778,3,"account, manager, key, customer, automotive, sales, commercial, success, executive, coordinator, construction, mso","[{""community_id"": 406, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Key Account Manager"", ""defining_skills"": [""account management"", ""sales"", ""customer success""], ""defining_responsibility_signals"": [""drive revenue"", ""identify new business opportunities""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 406, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Key Account Manager\"", \""defining_skills\"": [\""account management\"", \""sales\"", \""customer success\""], \""defining_responsibility_signals\"": [\""drive revenue\"", \""identify new business opportunities\""] , \""confidence\"": \""high\""}""}, {""community_id"": 406, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Automotive Sales & Account Management"", ""defining_skills"": [""sales"", ""account management"", ""customer success""], ""defining_responsibility_signals"": [""leadership"", ""certification""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 406, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Automotive Sales & Account Management\"", \""defining_skills\"": [\""sales\"", \""account management\"", \""customer success\""], \""defining_responsibility_signals\"": [\""leadership\"", \""certification\""] , \""confidence\"": \""high\""}""}, {""community_id"": 406, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Account Manager"", ""defining_skills"": [""sales"", ""customer success"", ""commercial""], ""defining_responsibility_signals"": [""leadership"", ""certification""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 406, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Account Manager\"", \""defining_skills\"": [\""sales\"", \""customer success\"", \""commercial\""], \""defining_responsibility_signals\"": [\""leadership\"", \""certification\""] , \""confidence\"": \""high\""}""}]",17
407,31,mid,moderate_entry_barrier,Supply Chain Management,"['procurement', 'supply chain', 'management']","['cold chain', 'transportation process']",high,1.0,1.0,0.667,0.889,3,"supply, chain, manager, specialist, procurement, senior, management, support, administrator, administrative, coordinator, analyst","[{""community_id"": 407, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Supply Chain Management"", ""defining_skills"": [""procurement"", ""supply chain"", ""management""], ""defining_responsibility_signals"": [""cold chain"", ""transportation process""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 407, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Supply Chain Management\"", \""defining_skills\"": [\""procurement\"", \""supply chain\"", \""management\""], \""defining_responsibility_signals\"": [\""cold chain\"", \""transportation process\""] , \""confidence\"": \""high\""}""}, {""community_id"": 407, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Supply Chain & Procurement"", ""defining_skills"": [""procurement"", ""supply chain"", ""management""], ""defining_responsibility_signals"": [""leadership"", ""certification""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 407, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Supply Chain & Procurement\"", \""defining_skills\"": [\""procurement\"", \""supply chain\"", \""management\""], \""defining_responsibility_signals\"": [\""leadership\"", \""certification\""] , \""confidence\"": \""high\""}""}, {""community_id"": 407, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Supply Chain Management"", ""defining_skills"": [""supply chain"", ""procurement"", ""management""], ""defining_responsibility_signals"": [""planning"", ""capacity routing""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 407, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Supply Chain Management\"", \""defining_skills\"": [\""supply chain\"", \""procurement\"", \""management\""], \""defining_responsibility_signals\"": [\""planning\"", \""capacity routing\""] , \""confidence\"": \""high\""}""}]",17
408,31,junior,moderate_entry_barrier,Physical Therapy Assistant,"['Physical Therapy', 'Patient Care', 'Rehabilitation']","['Assist in Therapy Sessions', 'Help Patients with Exercises']",high,1.0,1.0,1.0,1.0,3,"physical, therapist, prn, assistant, pta, medical, patient, therapy, office, services, laboratory, rehab","[{""community_id"": 408, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Physical Therapy Assistant"", ""defining_skills"": [""Physical Therapy"", ""Patient Care"", ""Rehabilitation""], ""defining_responsibility_signals"": [""Assist in Therapy Sessions"", ""Help Patients with Exercises""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 408, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Physical Therapy Assistant\"", \""defining_skills\"": [\""Physical Therapy\"", \""Patient Care\"", \""Rehabilitation\""], \""defining_responsibility_signals\"": [\""Assist in Therapy Sessions\"", \""Help Patients with Exercises\""] , \""confidence\"": \""high\""}""}, {""community_id"": 408, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Physical Therapy Assistant"", ""defining_skills"": [""Physical Therapy"", ""Patient Care"", ""Rehabilitation""], ""defining_responsibility_signals"": [""Assist in Therapy Sessions"", ""Help Patients with Exercises""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 408, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Physical Therapy Assistant\"", \""defining_skills\"": [\""Physical Therapy\"", \""Patient Care\"", \""Rehabilitation\""], \""defining_responsibility_signals\"": [\""Assist in Therapy Sessions\"", \""Help Patients with Exercises\""] , \""confidence\"": \""high\""}""}, {""community_id"": 408, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Physical Therapy Assistant"", ""defining_skills"": [""Physical Therapy"", ""Patient Care"", ""Medical Office""], ""defining_responsibility_signals"": [""Assist in Therapy Sessions"", ""Maintain Patient Records""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 408, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Physical Therapy Assistant\"", \""defining_skills\"": [\""Physical Therapy\"", \""Patient Care\"", \""Medical Office\""], \""defining_responsibility_signals\"": [\""Assist in Therapy Sessions\"", \""Maintain Patient Records\""] , \""confidence\"": \""high\""}""}]",17
409,31,mid,moderate_entry_barrier,Strategic Sourcing & Supply Chain Management,"['supply chain management', 'strategic sourcing', 'procurement planning']","['team leadership', 'project management']",high,1.0,1.0,0.667,0.889,3,"supply, chain, manager, sourcing, procurement, planner, senior, director, specialist, strategic, intern, planning","[{""community_id"": 409, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Strategic Sourcing & Supply Chain Management"", ""defining_skills"": [""supply chain management"", ""strategic sourcing"", ""procurement planning""], ""defining_responsibility_signals"": [""team leadership"", ""project management""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 409, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Strategic Sourcing & Supply Chain Management\"", \""defining_skills\"": [\""supply chain management\"", \""strategic sourcing\"", \""procurement planning\""], \""defining_responsibility_signals\"": [\""team leadership\"", \""project management\""] , \""confidence\"": \""high\""}""}, {""community_id"": 409, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Supply Chain Management"", ""defining_skills"": [""strategic planning"", ""supply chain optimization"", ""procurement sourcing""], ""defining_responsibility_signals"": [""leadership"", ""strategic planning""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 409, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Supply Chain Management\"", \""defining_skills\"": [\""strategic planning\"", \""supply chain optimization\"", \""procurement sourcing\""], \""defining_responsibility_signals\"": [\""leadership\"", \""strategic planning\""] , \""confidence\"": \""high\""}""}, {""community_id"": 409, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Strategic Sourcing & Supply Chain Management"", ""defining_skills"": [""supply chain management"", ""strategic sourcing"", ""procurement planning""], ""defining_responsibility_signals"": [""team leadership"", ""project management""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 409, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Strategic Sourcing & Supply Chain Management\"", \""defining_skills\"": [\""supply chain management\"", \""strategic sourcing\"", \""procurement planning\""], \""defining_responsibility_signals\"": [\""team leadership\"", \""project management\""] , \""confidence\"": \""high\""}""}]",17
